6.24 Ratios,"6.24 a razon, de proporción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires student to solve a problem using ratios with specified scaffolded steps.,Requiere que el estudiante resuelva un problema usando proporciones con pasos específicos con andamios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Your Work,Muestra tu trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answers,Respuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,dadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem 1,Problem1-ESP,Problem 2,Problem2-ESP,Problem 3,Problem3-ESP,Problem 12,Problem12-ESP,Problem 13,Problem13-ESP,Problem 14,Problem14-ESP,Problem 15,Problem15-ESP,Problem 21,Problem21-ESP,Problem 4,Problem4-ESP,Problem 5,Problem5-ESP,Problem 6,Problem6-ESP,Problem 7,Problem7-ESP,Problem 8,Problem8-ESP,Problem 9,Problem9-ESP,Problem 10,Problem10-ESP,Problem 11,Problem11-ESP,Problem 16,Problem16-ESP,Problem 17,Problem17-ESP,Problem 18,Problem18-ESP,Problem 19,Problem19-ESP,Problem 20,Problem20-ESP
%(6458143188047297965)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,Please enter '6/3' in the highlighted field.,"Por favor, ingrese '6/3' en el campo resaltado.",Please enter '27/9' in the highlighted field.,"Por favor, ingrese '27 / 9 'en el campo resaltado.",Please enter '720/8' in the highlighted field.,"Por favor, ingrese '720/8' en el campo resaltado.",Please enter '45/3' in the highlighted field.,"Por favor, ingrese '45 / 3 'en el campo resaltado.",Please enter '25/5' in the highlighted field.,"Por favor, ingrese '25 / 5 'en el campo resaltado.",Please enter '120/6' in the highlighted field.,"Por favor, ingrese '120/6' en el campo resaltado.",Please enter '32/8' in the highlighted field.,"Por favor, ingrese '32 / 8 'en el campo resaltado.",Please enter '400/16' in the highlighted field.,"Por favor, ingrese '400/16' en el campo resaltado.",Please enter '60/10' in the highlighted field.,"Por favor, ingrese '60/10 'en el campo resaltado."
%(5458135188026297887)%,Try dividing one of the givens by the total number of parts of distance.,Intente dividir uno de los datos dados por el número total de partes de la distancia.,Try dividing one of the givens by the number of parts of his workout already completed.,Intente dividir uno de los datos dados por el número de partes de su entrenamiento que ya completó.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts filled.,Intente dividir uno de los dados por el número de partes llenas.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts of boxes already sold.,Intente dividir uno de los dados por el número de partes de cajas ya vendidas.,,,,,,,,,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?
%(3458146188148298154)%,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,,,,,,,,,Please enter '4' in the highlighted field.,"Por favor, ingrese '4' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '450' in the highlighted field.,"Por favor, ingrese '450' en el campo resaltado.",Please enter '30' in the highlighted field.,"Por favor, introduzca '30' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '100' in the highlighted field.,"Por favor, ingrese '100' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '375' in the highlighted field.,"Por favor, ingrese '375' en el campo resaltado.",Please enter '18' in the highlighted field.,"Por favor, ingrese '18' en el campo resaltado."
%(4458157188249298307)%,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,,,,,,,,,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?
%(5458134188038297970)%,Please enter '140/7' in the highlighted field.,"Por favor, introduzca '140/7' en el campo resaltado.",Please enter '72/4' in the highlighted field.,"Por favor, ingrese '72 / 4 'en el campo resaltado.",Please enter '15/3' in the highlighted field.,"Por favor, ingrese '15 / 3 'en el campo resaltado.",Please enter '42/6' in the highlighted field.,"Por favor, ingrese '42 / 6 'en el campo resaltado.",Please enter '9/3' in the highlighted field.,"Por favor, ingrese '9/3' en el campo resaltado.",Please enter '45/9' in the highlighted field.,"Por favor, ingrese '45 / 9 'en el campo resaltado.",Please enter '3652/2' in the highlighted field.,"Por favor, ingrese '3652/2' en el campo resaltado.",Please enter '187/11' in the highlighted field.,"Por favor, ingrese '187/11' en el campo resaltado.",,,,,,,,,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?
%(5458132188026297956)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,,,,,,,,,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado."
%(8458159188153298121)%,Please enter '200' in the highlighted field.,"Por favor, ingrese '200' en el campo resaltado.",Please enter '90' in the highlighted field.,"Por favor, ingrese '90' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '49' in the highlighted field.,"Por favor, introduzca '49' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '50' in the highlighted field.,"Por favor, ingrese '50' en el campo resaltado.",Please enter '5478' in the highlighted field.,"Por favor, ingrese '5478' en el campo resaltado.",Please enter '255' in the highlighted field.,"Por favor, introduzca '255' en el campo resaltado.",,,,,,,,,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?
%(-8988575885511253416)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(3458145188140298073)%,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,,,,,,,,,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?
%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",,,,,,,,,,,,,,,,,,,,,,,,,,
%(4458154188249298408)%,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,,,,,,,,,,,,,,,,,,,,,,,,,,
%(-5541899811804701614)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,,,,,,,,,,,,,,,,,,
%(7458150188144298222)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,,,,,,,,,,,,,,,,,,,,,,,,,,
