,6.20 Fraction Ordering,6.20 Orden de fracciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(6656020021)%,4,4,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(6656020021)%,4,4,%(-3754851426637397581)%,The fraction 2/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(237097753228493120)%,Enter 12 into the box and press OK.,Ingrese 12 en el cuadro y presione OK.,%(-8407389834389120056)%,"3/7. 4/7 means '4 out of 7 equal pieces'. So start at ""0"" and then move over 4 pieces to the right.","3/7. 4/7 significa '4 de 7 piezas iguales'. Así que empieza en ""0"" y luego muévete 4 piezas hacia la derecha.",%(163512108431620419)%,1/4,1/4,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(6656020021)%,4,4,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(5760034605052020)%,-1,-1,%(-7718876479176384658)%,8/8,8/8,%(6784020404)%,5,5,%(5760034605052020)%,-1,-1,%(7397752158734955730)%,"Click on the spot where the large tickmark says ""1"".","Haga clic en el lugar donde la marca de verificación grande dice ""1"".",%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-4661998703776834464)%,Charlie should eat the salad made by Caroline.,Charlie debería comerse la ensalada hecha por Caroline.,%(3696576566978411361)%,Was Amy searching for less hours?,¿Amy estaba buscando menos horas?,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?"
%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-3754851426637397581)%,The fraction 2/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(5052856963289752950)%,"3/5. 4/5 means '4 out of 5 equal pieces'. So start at ""0"" and then move over 4 pieces to the right.","3/5. 4/5 significa '4 de 5 piezas iguales'. Así que empieza en ""0"" y luego muévete 4 piezas hacia la derecha.",%(-1579660026356844855)%,Count 4 part(s) from the left and click on the spot.,Cuente 4 partes desde la izquierda y haga clic en el lugar.,%(-1299501805924963891)%,Nicole grew more.,Nicole creció más.,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-3732555843219404307)%,Lamara ate more of his sandwich.,Lamara comió más de su sándwich.,%(-1695660640976966115)%,Bethany swam 3/10 of a mile.,Bethany nadó 3/10 de milla.,%(6912020791)%,6,6,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(5760034605052020)%,-1,-1,%(380511457288220800)%,Russ has 9/8 pounds.,Russ tiene 9/8 libras.,%(990171091959332249)%,Enter any number you want into the box.,Ingrese cualquier número que desee en el cuadro.,%(659471584112336855)%,12/7,12/7,%(3310995221232686752)%,Enter 6 into the box and press OK.,Ingrese 6 en el cuadro y presione OK.,%(4115817055084776896)%,Count 3 part(s) from the left and click on the spot.,Cuente 3 partes desde la izquierda y haga clic en el lugar.,%(6656020021)%,4,4
%(163512108431620419)%,1/4,1/4,%(-3861700235891113664)%,"1/3. 2/3 means '2 out of 3 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/3. 2/3 significa '2 de 3 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(6656020021)%,4,4,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-3260493863888175494)%,"0/3. 1/3 means '1 out of 3 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/3. 1/3 significa '1 de cada 3 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(-6856109338483234089)%,"5/8. 6/8 means '6 out of 8 equal pieces'. So start at ""0"" and then move over 6 pieces to the right.","5/8. 6/8 significa '6 de 8 piezas iguales'. Así que empieza en ""0"" y luego muévete 6 piezas hacia la derecha.",%(-6970342740599529201)%,"5/8. 6/8 significa '6 de 8 piezas iguales'. Así que empieza en ""0"" y luego muévete 6 piezas hacia la derecha.","5/8. 6/8 significa '6 de 8 piezas iguales'. Así que empieza en ""0"" y luego muévete 6 piezas hacia la derecha.",%(6656020021)%,4,4,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. ¿Cual es su numerador?,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(8912077937038424381)%,The fraction 11/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 11/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(6272037681056609)%,10,10,%(8604153053843969220)%,"Jason and Rabin are doing a chemistry experiment for a science class. They are in a step where they must add acid into a beaker, but Jason thinks the amount of acid Rabin is adding does not match with his; Jason thinks it's a little more. Use the number line to find out whether Jason is right.","Jason y Rabin están haciendo un experimento de química para una clase de ciencias. Están en un paso en el que deben agregar ácido en un vaso de precipitados, pero Jason cree que la cantidad de ácido que está agregando Rabin no coincide con la suya; Jason cree que es un poco más. Usa la recta numérica para averiguar si Jason tiene razón.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(6656020021)%,4,4,%(5052856963289752950)%,"3/5. 4/5 means '4 out of 5 equal pieces'. So start at ""0"" and then move over 4 pieces to the right.","3/5. 4/5 significa '4 de 5 piezas iguales'. Así que empieza en ""0"" y luego muévete 4 piezas hacia la derecha."
%(5822176560918569460)%,Levar has read 1/4 of the novel.,Levar ha leído 1/4 de la novela.,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(-1579660026356844855)%,Count 4 part(s) from the left and click on the spot.,Cuente 4 partes desde la izquierda y haga clic en el lugar.,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(-30796863738748729)%,The fraction 5/12 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 5/12 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(6272037681056609)%,10,10,%(-6577651117104200683)%,What is the numerator of the fraction 3/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 3/4? El numerador representa la cantidad de partes que debe contar.,%(-3260493863888175494)%,"0/3. 1/3 means '1 out of 3 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/3. 1/3 significa '1 de cada 3 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(6272037681056609)%,10,10,%(-7718876479176384658)%,8/8,8/8,%(5760017324)%,-,-,%(-5129749661703551536)%,Rabin is using 13/7 flasks of acid.,Rabin usa 13/7 frascos de ácido.,%(1917682095995704126)%,"9/5. 10/5 means '10 out of 5 equal pieces'. So start at ""0"" and then move over 10 pieces to the right.","9/5. 10/5 significa '10 de 5 piezas iguales'. Así que comience en ""0"" y luego mueva más de 10 piezas hacia la derecha.",%(-4340709941611810969)%,5/4,5/4,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones
%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. ¿Cual es su numerador?,%(163512108431620421)%,1/2,1/2,%(-1579660026356844855)%,Count 4 part(s) from the left and click on the spot.,Cuente 4 partes desde la izquierda y haga clic en el lugar.,%(6528019634)%,3,3,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cuál es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(471134550830741567)%,"1/8. 2/8 means '2 out of 8 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/8. 2/8 significa '2 de 8 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-8314051300770631961)%,What is the numerator of the fraction 9/8? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 9/8? El numerador representa la cantidad de partes que debe contar.,%(6482692325037048999)%,Count 10 part(s) from the left and click on the spot.,Cuente 10 partes desde la izquierda y haga clic en el lugar.,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-1579660026356844855)%,Count 4 part(s) from the left and click on the spot.,Cuente 4 partes desde la izquierda y haga clic en el lugar.
%(-3687039561946758948)%,"0/5. 1/5 means '1 out of 5 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/5. 1/5 significa '1 de cada 5 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(-962543404079237411)%,2/5,2/5,%(-3214654429100953108)%,4/6,4/6,%(-962543404079237411)%,2/5,2/5,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-3343394667824756455)%,What is the numerator of the fraction 3/10? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 3/10? El numerador representa la cantidad de partes que debe contar.,%(6528019634)%,3,3,%(-9205070009070268849)%,Is Shannon right?,¿Shannon tiene razón?,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(6121649030470295631)%,"7/8. 8/8 means '8 out of 8 equal pieces'. So start at ""0"" and then move over 8 pieces to the right.","7/8. 8/8 significa '8 de 8 piezas iguales'. Así que empieza en ""0"" y luego mueve 8 piezas hacia la derecha.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(-1302106224503967673)%,Was Jason right?,¿Jason tenía razón?,%(659473584112336864)%,10/6,10/6,%(-962543404079237414)%,2/2,2/2,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?
%(163512108431620418)%,1/5,1/5,%(6528019634)%,3,3,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(163512108431620418)%,1/5,1/5,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(8172923399272052582)%,Orlando ate 2/4 of his sandwich.,Orlando se comió 2/4 de su sándwich.,%(6528019634)%,3,3,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(666008545317701571)%,"10/10. 11/10 means '11 out of 10 equal pieces'. So start at ""0"" and then move over 11 pieces to the right.","10/10. 11/10 significa ""11 de cada 10 piezas iguales"". Así que empieza en ""0"" y luego mueve 11 piezas hacia la derecha.",%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(6272037681056609)%,10,10,%(-8357328734573034863)%,Hours Evan searched,Horas de búsqueda de Evan,%(4496036888584457464)%,Alicia has been working for 5/4 hours.,Alicia ha estado trabajando durante 5/4 horas.
%(-1714084959365311579)%,Laura has read less of the novel.,Laura ha leído menos de la novela.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-8327914366065712919)%,The fraction 4/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 4/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(6528019634)%,3,3,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-6436705360499812028)%,What is the numerator of the fraction 6/8? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 6/8? El numerador representa la cantidad de partes que debe contar.,%(6528019634)%,3,3,%(-8242715106875877028)%,Tracy ate 1/4 of the pizza.,Tracy se comió 1/4 de la pizza.,%(7168021561)%,8,8,%(2487330596778613257)%,The larger fraction is placed on the number line for the Distance Greg travels to school.,La fracción más grande se coloca en la recta numérica de la distancia que viaja Greg a la escuela.,%(6272037681056609)%,10,10,%(670153853284901138)%,Dale is using 10/9 pounds of ground beef.,Dale está usando 10/9 libras de carne molida.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(6482692325037048999)%,Count 10 part(s) from the left and click on the spot.,Cuente 10 partes desde la izquierda y haga clic en el lugar.,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.
%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-4707090165023782189)%,Miranda lives 2/5 of a mile from the school.,Miranda vive a 2/5 de milla de la escuela.,%(-7137196886227139703)%,Shandell's growth,El crecimiento de Shandell,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(163512108431620420)%,1/3,1/3,%(-6083661425934307368)%,The larger fraction is placed on the number line for the Mile John swam.,La fracción más grande se coloca en la recta numérica que nadó Mile John.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(7040021174)%,7,7,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(3300656332478240791)%,"Dale and Liz are each making their own spaghetti sauce, and are using different amounts of ground beef to make it. If you wanted your sauce to have more ground beef, whose sauce should you choose? Use the number line to find out.","Dale y Liz están haciendo cada uno su propia salsa de espagueti y están usando diferentes cantidades de carne molida para prepararla. Si desea que su salsa tenga más carne molida, ¿Cuál salsa debería elegir? Usa la recta numérica para averiguarlo.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8881255276648321311)%,What is the numerator of the fraction 10/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 10/5? El numerador representa la cantidad de partes que debe contar.,%(6528019634)%,3,3,%(-8327914366065712919)%,The fraction 4/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 4/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.
%(-7629592135335295430)%,Amount Laura read,Cantidad que leyó Laura,%(163512108431620420)%,1/3,1/3,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-4145864507776485363)%,Amount Orlando ate,Cantidad que Orlando comió,%(163512108431620420)%,1/3,1/3,%(6345387417476729231)%,"Heather and Dave each received a small pie to enjoy. Heather likes to cut her pie into 4 pieces, and Dave likes to cut his pie into 8 pieces. After enjoying their snack, Heather and Dave compared their pie to see who has eaten less.","Heather y Dave recibieron cada uno un pequeño pastel para disfrutar. A Heather le gusta cortar su pastel en 4 pedazos, ya Dave le gusta cortar su pastel en 8 pedazos. Después de disfrutar de su bocadillo, Heather y Dave compararon su pastel para ver quién había comido menos.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",,,,%(6528019634)%,3,3,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar."
,,,,,,%(-4381211640682107293)%,Who built a longer piece of paper chain?,¿Quién construyó una cadena de papel más larga?,%(8380476147644954900)%,What is the numerator of the fraction 4/10? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 4/10? El numerador representa la cantidad de partes que debe contar.,%(3293774364597200665)%,Shandell grew 5/12 of an inch.,Shandell creció 5/12 de pulgada.,%(163512108431620420)%,1/3,1/3,,,,%(8968614845224884109)%,3/10,3/10,%(7168021561)%,8,8,%(163512108431620420)%,1/3,1/3,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,,,,%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(7296021944)%,9,9,%(-7044067952644798901)%,Jason is using 15/8 flasks of acid.,Jason está usando 15/8 frascos de ácido.,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-9037735958575261550)%,"You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?","Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?",,,
,,,,,,,,,%(8968614845224884109)%,3/10,3/10,%(7305064166961515822)%,The larger fraction is placed on the number line for the Nicole's growth.,La fracción más grande se coloca en la recta numérica del crecimiento de Nicole.,%(7040021174)%,7,7,,,,,,,%(-5466765454154668964)%,6/8,6/8,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(163512108431620431)%,1/8,1/8,,,,%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(7296021944)%,9,9,,,,%(7040021174)%,7,7,%(-7854559867921989995)%,"10/6. 11/6 means '11 out of 6 equal pieces'. So start at ""0"" and then move over 11 pieces to the right.","10/6. 11/6 significa ""11 de 6 piezas iguales"". Así que empieza en ""0"" y luego mueve 11 piezas hacia la derecha.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",,,
