Problem Name	IntroProblem	IntroProblemESP	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(Combo2-Hint)%	What number of the senior pictures are you representing in the denominator of this fraction?	¿Qué número de fotografìas seniors estás representando en el denominador de esta fracción?	Which part of the population are you representing in the denominator of this fraction?	¿Qué parte de la población representas en el denominador de esta fracción?	Which part of the journey are you representing in the denominator of this fraction?	¿Qué parte del viaje representas en el denominador de esta fracción?	What part of the carpet installation are you representing in the denominator of this fraction?	¿Qué parte de la instalación de la alfombra representa en el denominador de esta fracción?	What part of Albert's reading are you representing in the denominator of this fraction?	¿Qué parte de la lectura de Albert estás representando en el denominador de esta fracción?	What part of the radio program are you representing in the denominator of this fraction?	¿Qué parte del programa de radio representas en el denominador de esta fracción?	What part of the order are you representing in the denominator of this fraction?	¿Qué parte del orden estás representando en el denominador de esta fracción?	Which participants in the poll are you representing in the denominator of this fraction?	¿A qué participantes de la encuesta representas en el denominador de esta fracción?	Which viewers are you trying to represent in the denominator of this fraction?	¿Qué espectadores intentas representar en el denominador de esta fracción?	Which gold medalists are you trying to represent in the denominator of this fraction?	¿Qué medallistas de oro estás tratando de representar en el denominador de esta fracción?	Which part of the student's shift are you trying to represent as the denominator of this fraction?	¿Qué parte del turno del estudiante estás tratando de representar como denominador de esta fracción?	Which quantity of the wrapping paper represents the denominator of this fraction?	¿Qué cantidad de papel de regalo representa el denominador de esta fracción?	How many minutes of the movie represents the denominator of this fraction?	¿Cuántos minutos de la película representan el denominador de esta fracción?	What number of yawns represents the denominator of this fraction?	¿Qué número de bostezos representa el denominador de esta fracción?	What part of Joan's salary is represented as the denominator of this fraction?	¿Qué parte del salario de Joan se representa como denominador de esta fracción?	What part of the poll is going to be represented as the denominator of this fraction?	¿Qué parte de la encuesta se representará como denominador de esta fracción?	What part of the survey is going to be represented as the denominator of this fraction?	¿Qué parte de la encuesta se representará como denominador de esta fracción?	What part of the student body is being represented as the denominator of this fraction?	¿Qué parte del alumnado se representa como denominador de esta fracción?	Which price represents the denominator of this fraction?	¿Qué precio representa el denominador de esta fracción?	Which amount is the denominator of this fraction?	¿Qué cantidad es el denominador de esta fracción?	How many people represent the denominator of this fraction?	¿Cuántas personas representan el denominador de esta fracción?	What part of the math problems are you representing as the denominator of this fraction?	¿Qué parte de los problemas de matemáticas representas como denominador de esta fracción?	What part of Alex's score will be represented as the denominator of this fraction?	¿Qué parte de la puntuación de Alex se representará como denominador de esta fracción?	Which value represents the denominator of the fraction?	¿Qué valor representa el denominador de la fracción?
%(Combo1-Selection)%	pictures Kelly gave to her family	fotos que Kelly le dio a su familia	people who took part in the activity	personas que participaron en la actividad	miles between Los Angeles and Oklahoma	millas entre Los Ángeles y Oklahoma	sq.ft. of carpeting already installed	pies cuadrados de moqueta ya instalada	pages already read by Albert	páginas ya leídas por Albert	length of one story	longitud de una historia	credit Jane received ($)	crédito que Jane recibió ($)	people who answered correctly	personas que respondieron correctamente	people who won the contest	personas que ganaron el concurso	number of American gold medalists	número de medallistas de oro estadounidenses	hours spent doing dishes	horas dedicadas a lavar platos	sq.ft. of wrapping paper used for the present	pies cuadrados de papel de regalo utilizado para el presente	minutes of the movie Emily has already watched	minutos de la película que Emily ya ha visto	number of yawns that induced secondary yawns	número de bostezos que indujeron bostezos secundarios	total tax withheld ($)	impuesto total retenido ($)	citizens that approved of the president's performance	ciudadanos que aprobaron el desempeño del presidente	number of adults who worked out regularly	número de adultos que hacen ejercicio con regularidad	number of students who opted for the tofu meal	número de estudiantes que optaron por la comida de tofu	clearance price of the jeans ($)	precio de liquidación de los jeans ($)	sales tax on the computer ($)	impuesto sobre las ventas en la computadora ($)	customers who bought light bulbs	clientes que compraron bombillas	number of geometry problems	número de problemas de geometría	number of points awarded	número de puntos otorgados	tip received by the waiter ($)	propina recibida por el camarero ($)
%(Combo2-Selection)%	total number of senior pictures	número total de fotografías de personas mayores	total inhabitants of Tuscon	Habitantes totales de Tucson	miles between Los Angeles and New York City	millas entre Los Ángeles y Nueva York	total sq.ft. of carpeting to be installed	pies cuadrados totales de moqueta para instalar	total number of pages in the book	número total de páginas del libro	length of three stories	longitud de tres historias	total cost of the order ($)	costo total del pedido ($)	total number of people in the poll	número total de personas en la encuesta	total number of people in the tri-state area	número total de personas en el área tri-estatal	total number of gold medalists	número total de medallistas de oro	total length of a shift	duración total de un turno	total sq.ft. of wrapping paper	pies cuadrados totales de papel de regalo	length of the entire movie	duración de toda la película	total number of yawns observed	número total de bostezos observados	Joan's salary before it was taxed ($)	Salario de Joan antes de pagar impuestos ($)	total number of American citizens that were in the poll	número total de ciudadanos estadounidenses que participaron en la encuesta	total number of adults in the survey	número total de adultos en la encuesta	total number of students in the school	número total de estudiantes en la escuela	original price of the jeans ($)	precio original de los jeans ($)	price of the computer not including tax ($)	precio de la computadora sin incluir impuestos ($)	customers who were on the phone with Julie	clientes que estaban hablando por teléfono con Julie	total number of problems	número total de problemas	total number of points	número total de puntos	cost of dinner without tip ($)	costo de la cena sin propina ($)
%(eq_fr_method_hint3)%	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador es un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?
%(eq_fr_ans_hint3)%	Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Multiply the numerator by the factor you have chosen. The answer will be the final percentage.	Multiplica el numerador por el factor que elegiste. La respuesta será el porcentaje final.	Multiply the numerator by the factor you have found. The answer will be the final percentage.	Multiplica el numerador por el factor que has encontrado. La respuesta será el porcentaje final.	Multiply the numerator by the factor you have found. The answer will be the final percentage.	Multiplica el numerador por el factor que has encontrado. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.	
%(Total)%	50	50	21000	21000	5000	5000	300	300	200	200	75	75	8	8	400	400	25000	25000	80	80	5	5	25	25	130	130	2400	2400	2000	2000	2000000	2000000	6000	6000	500	500	85	85	1500	1500	300	300	240	240	175	175	35	35
%(Total-Hint1)%	How many senior pictures does Kelly have in total?	¿Cuántas fotos mayores tiene Kelly en total?	What is the total number of inhabitants in Tucson?	¿Cuál es el número total de habitantes de Tucson?	What is the total distance between Los Angeles and New York City?	¿Cuál es la distancia total entre Los Ángeles y Nueva York?	What is the total square feet of carpeting Ed has to install in his house?	¿Cuál es el total de pies cuadrados de alfombras que Ed tiene que instalar en su casa?	How many pages does the book have in total?	¿Cuántas páginas tiene el libro en total?	What is the total length of the program?	¿Cuál es la duración total del programa?	How much was Jane's total worth?	¿Cuánto valía el valor total de Jane?	How many people were asked this question during the poll?	¿A cuántas personas se les hizo esta pregunta durante la encuesta?	How many viewers are there in the tri-state area?	¿Cuántos espectadores hay en el área de los tres estados?	How many gold medals were awarded during the Winter Olympics?	¿Cuántas medallas de oro se entregaron durante los Juegos Olímpicos de Invierno?	How long is the student's shift?	¿Cuánto dura el turno del estudiante?	How much wrapping paper is there in a roll?	¿Cuánto papel de regalo hay en un rollo?	How long is Emily's favorite movie?	¿Cuánto dura la película favorita de Emily?	How many instances of yawning did Ashley observe in total?	¿Cuántos casos de bostezos observó Ashley en total?	What is Joan's salary?	¿Cuál es el salario de Joan?	How many individuals were polled for the president's approval rating?	¿Cuántas personas fueron encuestadas para obtener el índice de aprobación del presidente?	How many individuals participated in the survey?	¿Cuántas personas participaron en la encuesta?	How many students were given the option between the two meals?	¿A cuántos estudiantes se les dio la opción entre las dos comidas?	What was the original price of the jeans?	¿Cuál fue el precio original de los jeans?	What is the original price of the new computer?	¿Cuál es el precio original de la computadora nueva?	How many customers did Julie call in her first week?	¿A cuántos clientes llamó Julie en su primera semana?	How many problems did Chelsea complete in the math competition?	¿Cuántos problemas completó Chelsea en la competencia de matemáticas?	How many points was the test out of?	¿De cuántos puntos salió la prueba?	How much did dinner cost?	¿Cuánto costó la cena?
%(Interm-Ans)%	3200	3200	1659000	1659000	77500	77500	24300	24300	7200	7200	1500	1500	12	12	3600	3600	162500	162500	1000	1000	200	200	1800	1800	9100	9100	202200	202200	71000	71000	130000000	130000000	198000	198000	1000	1000	4845	4845	10500	10500	18900	18900	3000	3000	16800	16800	525	525
%(EF-traversal)%	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0
%(divide)%	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0
%(Factor)%	2	2	210	210	50	50	3	3	2	2	0	0	0	0	4	4	250	250			20	20	4	4	0	0	24	24	20	20	20000	20000	60	60	5	5			15	15	3	3						
%(FactorN-Hint)%	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.
