Problem Name	00bubble	00bubbleESP	01book	01bookESP	02cheese	02cheeseESP	03chain	03chainESP	04school	04schoolESP	05height	05heightESP	06fence	06fenceESP	07sandwich	07sandwichESP	08swim	08swimESP	09pie	09pieESP	10homework	10homeworkESP	11pizza	11pizzaESP	12charity	12charityESP	13school	13schoolESP	14candy	14candyESP	15sauce	15sauceESP	16chemistry	16chemistryESP	17salad	17saladESP	18prize	18prizeESP	19history	19historyESP
%(hintMessage_22_look_fraction_problem_denominator)%	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.	Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.	Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.
%(hintMessage_23_fraction_frac_denominator_den)%	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.	The fraction is %(frac)%. The denominator is %(den)%.	La fracción es %(frac)%. El denominador es %(den)%.
%(hintMessage_24_enter_den_box_click)%	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.	Enter %(den)% into the box, and click OK.	Ingrese %(den)% en el cuadro y haga clic en Aceptar.
%(hintMessage_25_find_fraction_problem_click)%	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.
%(hintMessage_26_numerator_shows_many_lineh)%	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.	The numerator shows you how many %(line-h)%.	El numerador muestra cuántos %(línea-h)%.
%(hintMessage_27_fraction_problem_frac_numerator)%	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?	The fraction in this problem is %(frac)%. What is its numerator?	La fracción en este problema es %(frac)%. Cual es su numerador?
%(hintMessage_28_numerator_frac_num_count)%	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.	The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.	El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.
%(hintMessage_29_compare_fraction_fraction_smallbig)%	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?	Compare the fraction above Which fraction is smaller?	Compara la fracción anterior ¿Qué fracción es más pequeña?	Compare the fraction above Which fraction is larger?	Compara la fracción anterior ¿Qué fracción es más grande?
%(hintMessage_30_looking)%	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando	You are looking for	Estás buscando
%(successMessage_8_good_job)%	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!	Good job!	¡Buen trabajo!
%(buggyMessage_1_correct)%	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.
%(buggyMessage_9_oops_put_numerator_fraction)%	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.	Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!	¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.
